Postcode,Venue,Lat,Lon,Category
80335,Augustiner Biergarten,48.14339635620635,11.55163049697876,Beer Garden
80335,Augustiner-Keller,48.14328181182923,11.551845073699951,Bavarian Restaurant
80335,Ballabeni Icecream Werkstatt,48.145623,11.558332,Ice Cream Shop
80335,Condesa,48.139891,11.555623,Mexican Restaurant
80335,Clever Fit Mitte,48.14426438809337,11.558020301686614,Gym / Fitness Center
80335,Sofitel Munich Bayerpost,48.13924641337055,11.557234390440732,Hotel
80335,Cinema Filmtheater,48.148412633964504,11.553055601935696,Indie Movie Theater
80335,Circus Krone,48.14531493652586,11.55013918876648,Circus
80335,Shandiz,48.14644194793621,11.559034412291275,Middle Eastern Restaurant
80335,Publicis Sapient,48.143947024120465,11.549693379742463,Office
80335,Noppakao,48.143882636992885,11.559871305259119,Thai Restaurant
80335,Café Kosmos,48.142484,11.560045,Bar
